group_id,first_observed_in,min_year,max_year,point_count,median_points_per_year,expansion_rate,r2
0,FR,1995,2024,454,8.0,18904.05252309323,0.7111724850558556
1,FR,2005,2024,568,18.0,16392.688245581197,0.6575150540430401
10,FR,2011,2018,13,1.0,98.0122477854335,0.20442285787477832
11,FR,2011,2024,46,3.0,1109.0363042632625,0.5207874339587548
12,ES,2012,2013,5,2.5,1984.1680920243623,1.0
13,FR,2012,2022,18,1.0,3028.5648647372673,0.5667000010326313
14,FR,2013,2014,3,1.5,2729.661019425166,1.0
15,FR,2011,2017,5,1.0,1642.8940398437574,0.8276703062015361
16,FR,2002,2022,6,0.0,826.7801928094294,0.9368358913813479
17,FR,2010,2022,13,1.0,2374.0053128387603,0.7220416181273457
18,FR,2014,2024,41,3.0,12023.662115044574,0.885539091296029
19,AT,2014,2024,29,1.0,6360.132951176543,0.8116276524711147
2,FR,2005,2024,3951,101.5,108842.76376756211,0.9016464139101351
20,ES,2015,2023,15,1.0,60507.669867811346,0.92685621472421
21,ES,2009,2016,7,0.0,235.23878124181334,1.0
22,FR,2007,2024,5,0.0,1300.7209130394235,0.8650773528585272
23,FR,2014,2020,12,1.0,12621.766835972498,0.9245435588392651
24,IT,2015,2024,7,1.0,13629.851202847018,0.8920037149658367
25,FR,2015,2019,3,1.0,2788.1813792594903,0.7499999999999583
26,FR,2015,2023,21,2.0,1566.290388672079,0.7588414613488251
27,FR,2010,2021,4,0.0,908.2871337818957,0.8207713396727767
28,AT,2015,2024,54,4.0,3501.643493319075,0.648392144224563
29,AT,2014,2024,181,8.0,16057.948273264892,0.8027287782229019
3,IT,1993,2024,45,0.0,31586.268568322208,0.9302972271244196
30,FR,2013,2020,10,1.0,605.9821400761173,0.4744263279484099
31,FR,2015,2023,12,1.0,4017.500158847015,0.5737066518887926
32,HU,2016,2024,109,13.0,38369.6020411534,0.699987777995212
33,FR,2012,2022,7,0.0,1081.8508201755508,0.9223101652461367
34,FR,2011,2023,22,1.0,1245.4608255811008,0.72952837871318
35,CH,2018,2022,6,1.0,2430.9506910207815,0.624999999999964
36,DE,2017,2024,52,6.5,3341.770495032847,0.8724087445633744
37,IT,2015,2024,6,0.5,30003.87220892755,0.7495330410981386
38,AT,2016,2024,13,1.0,5808.429599655553,0.7507624580835124
39,FR,2014,2022,4,0.0,2011.7221995486973,0.9613164392413309
4,FR,2004,2024,176,7.0,2135.700995557424,0.20672417272273358
40,CH,2019,2024,12,1.5,2819.975812374558,0.7892029722729835
41,DE,2019,2024,20,2.5,4229.716561935247,0.7188247612491412
42,AT,2019,2024,5,0.5,1861.6970456682748,0.4109003794241849
43,DE,2018,2024,14,1.0,1833.1555523943748,0.5572537947135845
44,PT,2019,2021,2,1.0,6601.517299223053,1.0
45,GB,2016,2024,15,1.0,19790.057020802204,0.5304068276424462
46,FR,2009,2022,15,0.0,825.4629222060321,0.9749926306693336
47,CH,2019,2022,5,1.5,2268.2522419261127,0.8333333333332877
48,DE,2020,2024,7,1.0,6803.030690034131,0.8984424657196036
49,AT,2019,2021,5,2.0,2555.22081354209,0.9104863431125082
5,FR,2007,2024,1219,8.5,16105.736810797905,0.7282696801537464
50,CZ,2020,2024,17,3.0,7329.523137905778,0.871644559188695
51,CZ,2020,2024,10,1.0,11766.582399021172,0.44373471038032963
52,ES,2019,2022,3,1.0,4751.9874080208965,0.8944148380550894
53,ES,2018,2022,5,1.0,831.8243964107166,0.9917789033863814
54,ES,2015,2022,5,0.0,767.5290980784366,0.9984508101735607
55,DE,2021,2024,8,1.5,9039.424759571113,0.348418692367196
56,DE,2020,2024,5,1.0,4384.356829743248,0.6874999999999336
57,DE,2020,2024,14,3.0,484.6616059599078,0.5245803189468335
58,CZ,2020,2024,9,2.0,1955.545758917034,0.879635645113092
59,AT,2020,2023,4,1.0,7750.814517295396,0.8596491228069678
6,AT,2005,2024,32,1.0,1554.8019038428376,0.8579981194113601
60,CZ,2020,2024,5,1.0,13606.318916569893,0.5329456617899797
61,PL,2018,2024,15,1.0,2927.4868331314547,0.6220343153358328
62,FR,2010,2023,2,0.0,871.5069385654034,1.0
63,CH,2022,2023,2,1.0,7660.571531138755,1.0
64,AT,2021,2023,2,1.0,4423.492585953543,1.0
65,CZ,2020,2023,3,0.5,2249.1217885626766,0.8114647118388646
66,AT,2022,2024,5,2.0,3982.020357537968,0.5677345337075987
67,AT,2014,2023,7,0.0,476.21733241900625,0.9476635514018661
68,UA,2022,2024,9,3.0,7318.94760196876,0.7298936795675749
69,ES,2018,2024,2,0.0,1137.2864637099553,1.0
7,ES,2009,2017,5,0.0,49.8688879931595,0.49458484684556114
70,FR,2020,2024,2,0.0,2068.709883198728,1.0
71,DE,2022,2024,2,1.0,6128.713946621466,1.0
72,CH,2022,2024,4,1.0,3123.1513144853084,0.7577762732350837
73,DE,2023,2024,2,1.0,8130.930746822515,1.0
74,DE,2023,2024,3,1.5,2022.2464244231508,0.9705830254177484
75,UA,2023,2024,8,4.0,9783.152849356358,0.058809781882254164
8,FR,2008,2023,10,0.0,1807.3157702830194,0.7782773008702573
9,FR,2006,2020,5,0.0,2263.613415288141,0.7058823529411729
